,crime
506,"When people in Littlehampton--including conservative local Edith--begin to receive letters full of hilarious profanities, rowdy Irish migrant Rose is charged with the crime. Suspecting that something is amiss, the town's women investigate."
507,"While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta."
508,Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas she looks to become the country's reigning drug smuggler and to avenge her lover's murder.
509,"Working for the F.B.I., a mathematician uses equations to help solve various crimes."
510,The journey of some of Power's most controversial characters.
511,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C."
512,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college."
513,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted."
514,A group of friends who meet regularly for game nights find themselves entangled in a real-life mystery when the shady brother of one of them is seemingly kidnapped by dangerous gangsters.
515,A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.
516,"Kamala, a superhero fan with an imagination--particularly when it comes to Captain Marvel--feels like she doesn't fit in at school and sometimes even at home, that is until she gets superpowers like the heroes she admires."
517,"Witty, enigmatic DI Annika Strandhed heads up the Marine Homicide Unit, tasked with solving murders in and around the Scottish waters."
518,"A mystery series created by author Harlan Coben. Jesse, a five-year-old boy, goes missing. Twenty years later, his DNA shows up at a crime scene."
519,An ordinary man frustrated with the various flaws he sees in society begins to psychotically and violently lash out against them.
520,"Survivors reveal the manipulation, abuse and emotional scars suffered at the hands of Jeffrey Epstein and Ghislaine Maxwell. Their stories expose a sex trafficking ring of powerful enablers leading up to his 2019 arrest."
521,"When Enola Holmes (Sherlock's teen sister) discovers her mother is missing, she endeavours to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy."
522,Prison inmates form a football team to challenge the prison guards.
523,"Security guard Richard Jewell is an instant hero after foiling a bomb attack at the 1996 Atlanta Olympics, but his life becomes a nightmare when the FBI leaks to the media that he is a suspect in the case."
524,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind."
525,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.
526,"Chronicles ordinary people getting caught up in extraordinary situations, where one wrong turn leads to another, until it's too late to turn back."
527,A lawyer defending a wealthy man begins to believe his client is guilty of more than just one crime.
528,"When a police officer is murdered and set on fire, all eyes focus on two other agents; his girlfriend and her lover. Inspired by true events."
529,A street gang known as The Warriors must fight their way from the Bronx to their home turf on Coney Island when they are falsely accused of assassinating a respected gang leader.
530,The arrival of DC Leila Hussain sets tongues wagging - what brings this big city girl to a sleepy Northern Irish seaside town?
531,"Chief Inspector Morse has an ear for Western classical music, a taste for beer, and a nose for crime. He and Detective Sergeant Robert Lewis solve intriguing cases in and around the Oxford area."
532,"In this documentary, the murder of Deedee Blanchard by her daughter Gypsy Rose is explored, as well as the circumstances leading up to the event."
533,"The investigations of Hawaii Five-0, an elite branch of the Hawaii State Police answerable only to the governor and headed by stalwart Steve McGarrett."
534,"John works with the PreCrime police which stop crimes before they take place, with the help of three 'PreCogs' who can foresee crimes. Events ensue when John finds himself framed for a future murder."
535,Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.
536,"An artist who gets pulled into the murky high stakes of a con job and a fiery task force officer on the mission to rid the country of his menaces in a fast-paced, edgy one-of-a-kind thriller."
537,"A talented P.I. agrees to work as the in-house investigator for his mother, who is reeling from the recent dissolution of her marriage."
538,Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.
539,A babysitter must battle her way through the big city after being stranded there with the kids she's looking after.
540,"Marcella Backland left the Metropolitan Police for the sake of her family, only to have her husband leave her. She returns to her job on the murder squad, investigating a case that seems disturbingly familiar to her."
541,Three petty felons have a documentary made about their life in a trailer park.
542,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.
543,"At Westerburg High where cliques rule, jocks dominate and all the popular girls are named Heather, it's going to take a Veronica and mysterious new kid to give teen angst a body count."
544,"A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse."
545,It follows Kara Robinson as she survives an abduction and ultimately brings down a serial killer.
546,Three very different criminals team up for a series of heists and walk into some of the most thrilling experiences in the corrupt city of Los Santos.
547,Seven strangers from different walks of life forced together to complete a community payback sentence in Bristol.
548,A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero.
549,"Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer."
550,"Fugitive Jesse Pinkman runs from his captors, the law, and his past."
551,"An irreverent look at what goes on behind the scenes in Reno, Nevada's Sheriff's Department."
552,Loretta McLaughlin was the reporter who first connected the murders and broke the story of the Boston Strangler. She and Jean Cole challenged the sexism of the early 1960s to report on the city's most notorious serial killer.
553,"Many in the coastal town of Haven, Maine have a dormant curse or ""trouble"" that could trigger at any time for any reason. FBI agent Audrey Parker, the sheriff and the town's black sheep must deal with the troubles' deadly effects."
554,Police in the Morecambe Bay area in Lancashire investigate missing persons and suspicious deaths.
555,"Tells the story of Michael Peterson, a crime novelist accused of killing his wife Kathleen after she is found dead at the bottom of a staircase in their home, and the 16-year judicial battle that followed."
556,An enigmatic figure who uses her extensive skills to help those with nowhere else to turn.
557,"DI Humphrey Goodman takes up post in Devon. But with a high crime rate, maybe things will be louder than expected."
558,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
559,"Follows a group of police officers on the front line wondering what they did to end up where they are now, on the ugly side of Manchester."
560,"Four college girls hold up a restaurant in order to fund their spring break vacation. While partying, drinking, and taking drugs, they are arrested, only to be bailed out by a drug and arms dealer."
561,A demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman.
562,A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.
563,"In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO."
564,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption."
565,Suburban mom Allison DuBois attempts to balance family life with solving mysteries using her special gift. The dead send her visions of their deaths or other crimes while she sleeps.
566,"In a deleted scene from The Batman (2022), Batman consults an old acquaintance and Arkham inmate about The Riddler's crime spree."
567,"After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss."
568,An expert cutter must outwit a dangerous group of mobsters in order to survive a fateful night.
569,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.
570,Two spies are recruited by an intelligence agency. They pose as a married couple Mr. and Mrs. Smith when they are on their missions.
571,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge."
572,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
573,"An elite covert operations unit carries out highly sensitive missions subject to official denial in the event of failure, death or capture."
574,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
575,"In Chile in 1901, three horseman are paid to protect a vast estate. Accompanying a British soldier and an American mercenary is a mixed-race sniper, who realizes that his true mission is to kill the indigenous population."
576,"In Warsaw, a prosecutor's hopes rise after a body is found and linked to his sister's disappearance 25 years earlier."
577,"17-year-old Zoe Hull uses her wits, survival skills, and compassion to fight for her life, and those of her fellow classmates, against a group of live-streaming school shooters."
578,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"""
579,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.
580,A quirky spy show of the adventures of eccentrically suave British Agent John Steed and his predominantly female partners.
581,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free.
582,Brilliant but disgraced detective John Luther breaks out of prison to hunt down a sadistic serial killer who is terrorising London.
583,"Set in Depression-era Franklin County, Virginia, a trio of bootlegging brothers are threatened by a new special deputy and other authorities angling for a cut of their profits."
584,A slightly unhinged cop is partnered with a veteran detective trying to maintain a low stress level in his life.
585,"Sam, a disenchanted young man, finds a mysterious woman swimming in his apartment's pool one night. The next morning, she disappears. Sam sets off across LA to find her, and along the way he uncovers a conspiracy far more bizarre."
586,"Arnold, whose lifestyle on a battered houseboat in Chelsea's Cheyne Walk contrasts sharply with the affluent elite whose crimes he helps solve alongside partner D.C. Priya Shamsie."
587,"Motivations are suspect, and expectations are turned chaos, as a con artist takes on Manhattan billionaires."
588,Tells the story of the rise and fall of the Baltimore Police Department's Gun Trace Task Force and the corruption surrounding it.
589,A stripper and single mother gets dragged into a dangerous situation after a congressman takes a fancy to her.
590,A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after he witnesses his dealer's boss murder a competitor while trying to serve papers on him.
591,"Candy Montgomery is a 1980s housewife and mother who did everything right. When the pressure of conformity builds within, her actions scream for just a bit of freedom--until someone tells her to shush--with deadly results."
592,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.
593,The adventures of a secret Agent armed with almost infinite scientific resourcefulness.
594,A psychological thriller centered around a black-ops interrogator and an F.B.I. Agent who press a suspect terrorist into divulging the location of three nuclear weapons set to detonate in the U.S.
595,A misfit bunch of friends comes together to right the injustices which exist in a small town.
596,"A man, his wife and their friend stage a bloody bank robbery without realizing they are stealing from the Mob."
597,"In 1994, seventeen-year-old Isabel Baker was murdered. The crime shocked the small town of Ashford and devastated the Australian South Sea Islander community of Elizabeth."
598,Two regular police officers patrol Los Angeles.
599,A grieving snowplow driver seeks out revenge against the drug dealers who killed his son.
600,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.
601,"Genre-mixing anthology series, inviting viewers into some very different and enigmatic No. 9s."
602,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends and what happens when they meet criminal forces greater than themselves."
603,A secret agent exacts revenge on a serial killer through a series of captures and releases.
604,"Frank Martin, who ""transports"" packages for unknown clients, is asked to move a package that soon begins moving, and complications arise."
605,"The Closer (2005) spin-off series, which follows Captain Raydor of the Los Angeles Police Department."
606,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past."
607,"Desperate to pay the bills and come through for their loved ones, three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money."
608,"Set a few months after the events of the second season of Daredevil, and a month after the events of Iron Fist, the vigilantes Daredevil, Jessica Jones, Luke Cage, and Iron Fist team up in New York City to fight a common enemy: The Hand."
609,"Down on her luck and saddled with debt, Emily gets involved in a credit card scam that pulls her into the criminal underworld of Los Angeles, ultimately leading to deadly consequences."
610,"The 1960s lives and adventures of the police constabulary, medical staff, and residents of Ashfordly and Aidensfield."
611,"When a sabotaged experiment gives him super strength and unbreakable skin, Luke Cage becomes a fugitive attempting to rebuild his life in Harlem and must confront his past and fight a battle for the heart of his city."
612,The adventures of two California Highway Patrol motorcycle officers.
613,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered."
614,"After a young woman suffers a brutal gang rape in a bar one night, a prosecutor assists in bringing the perpetrators to justice, including the ones who encouraged and cheered on the attack."
615,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.
616,A quadriplegic ex-homicide detective and his partner try to track down a serial killer who is terrorizing New York City.
617,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better."
618,"The everyday lives of working-class inhabitants of Albert Square, a traditional Victorian square of terrace houses surrounding a park in the East End of London's Walford borough. The square includes the Queen Vic pub and a street market."
619,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.
620,"A loyal and dedicated Hong Kong Inspector teams up with a reckless and loudmouthed L.A.P.D. detective to rescue the Chinese Consul's kidnapped daughter, while trying to arrest a dangerous crime lord along the way."
621,Follows the unspeakable torture and abuses committed on a teenage girl in the care of her aunt and the boys who witness and fail to report the crime.
622,"The Manzoni family, a notorious Mafia clan, is relocated to Normandy, France, under the Witness Protection Program, where fitting in soon becomes challenging as their old habits die hard."
623,A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him in order to track down a killer.
624,"An accidental discovery near a doctor's estate stirs up some painful memories eight years after his wife's hideous murder, and now, things are bound to take a turn for the unexpected. Does the good doctor know more than he's letting on?"
625,"In 1994 in South Africa, the daughter of a multiracial couple is kidnapped. She escapes and, as an adult, becomes a detective. Reyka Gama uses her skills to raise her child and solve mysteries."
626,The cases of an undercover police unit composed of young-looking officers specializing in youth crime.
627,"The owner of a seedy small-town Texas bar discovers that one of his employees is having an affair with his wife. A chaotic chain of misunderstandings, lies, and mischief ensues after he devises a plot to have them murdered."
628,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.
629,"Vengeance rides the open road when a young woman, traveling alone, encounters a renegade drifter and ends up in a fight for her life."
630,"After a successful heist, Porter is left for dead. Once he recovers, he seeks vengeance and wants his share of the money."
631,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
632,"Based on life of cult leader Ervil Morrell LeBaron, leader of a religious fundamentalist group who ordered the mass murders of his rivals by using the religious doctrine of blood atonement to justify the killings."
633,"The cases of a brilliant, if Irascible, coroner who investigates suspicious deaths which usually suggest murder."
634,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho he met that evening at a coffee shop.
635,"When a cartoon rabbit is accused of murder, he enlists the help of a burnt out private investigator to prove his innocence."
636,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.
637,"A law firm brings in its ""fixer"" to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multibillion-dollar class action suit."
638,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.
639,"The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson, and Pretty Boy Floyd during a booming crime wave in the 1930s."
640,"Inspired by the viral New York Magazine article, Hustlers follows a crew of savvy former strip club employees who band together to turn the tables on their Wall Street clients."
641,"A boy in New York is taken in by a wealthy family after his mother is killed in a bombing at the Metropolitan Museum of Art. In a rush of panic, he steals 'The Goldfinch', a painting that eventually draws him into a world of crime."
642,"An American mom inherits her grandfather's mafia empire in Italy. Guided by the firm's consigliere, she hilariously defies everyone's expectations as the new head of the family business."
643,An investigation into a botched kidnapping uncovers long-held secrets connecting multiple characters and cultures in present day New York City.
644,"A brilliant, charismatic, and psychotic serial killer communicates with other active serial killers and activates a cult of believers who follow his every command."
645,Two young people's bond leads to marital infidelity and ultimately crime.
646,A Mossad agent embarks on her first mission as a computer hacker in her home town of Tehran.
647,"13 years after bestselling horror writer Alan Wake went missing, a string of ritualistic murders occur in the town of Bright Falls, Washington. Saga Anderson, an FBI agent, is sent to Bright Falls to investigate the murders."
648,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes, while the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy."
649,Two brothers attempt to pull off a heist during a NASCAR race in North Carolina.
650,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy."
651,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems."
652,"When their adoptive mother is gunned down in a store robbery, four brothers decide to investigate the murder and find the killers themselves, but not all is what it seems."
653,"Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent."
654,"Two streetwise cops bust criminals in their red-and-white Ford Gran Torino, with the help of police snitch, Huggy Bear."
655,Incompetent police Detective Frank Drebin must foil an attempt to assassinate Queen Elizabeth II.
656,Follows a squad of elite investigators who investigate corruption and high-level criminality in the Greater Toronto Area.
657,"The true story of suburban housewife Gertrude Baniszewski, who kept a teenage girl locked in the basement of her Indiana home during the 1960s."
658,"After unapologetic and fiercely loyal Inez kidnaps her son Terry from the foster care system, mother and son set out to reclaim their sense of home, identity, and stability, in a rapidly changing New York City."
659,"The true story of Molly Bloom, an Olympic-class skier who ran the world's most exclusive high-stakes poker game and became an FBI target."
660,"The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair."
661,Full-time detectives Nick and Audrey are struggling to get their private eye agency off the ground. They find themselves at the center of international abduction when their friend Maharaja is kidnapped at his own lavish wedding.
662,"Commissioner Martin Beck and his eccentric partner Gunvald Larsson investigate murders in Stockholm, Sweden."
663,"The Hitter, the Hacker, the Grifter and the Thief are back, this time with help from a new tech genius and corporate fixer, to take on a new kind of villain. When someone needs help, they provide...Leverage."
664,"In a remote town in Iceland, police desperately try to solve a crime as a powerful storm descends upon the town."
665,"Elsbeth Tascioni, an unconventional attorney, gives her singular point of view to make observations to catch criminals alongside the NYPD."
666,"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business."
667,"When a British soldier is charged with a crime, the tenacious young detective handling his case begins to uncover a conspiracy."
668,"After the murder of her estranged son, a journalist forms an unlikely alliance with his pregnant girlfriend to track down those responsible. Together, they confront a world of drugs and corruption in the underbelly of a small city."
669,An undercover FBI agent becomes a vigilante and sets out to unleash his wrath upon the corrupt businessman who slaughtered his entire family at a reunion.
670,"A chronicle of the crimes of Ted Bundy from the perspective of Liz, his longtime girlfriend, who refused to believe the truth about him for years."
671,"When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before."
672,"The brutal murder of Hamdi Atilbay brings together the paths of young prosecutor Leyla, and a famous journalist Kenan. However, this murder is covered with facts that will also destroy their love."
673,Professional assassin Chev Chelios learns his rival has injected him with a poison that will kill him if his heart rate drops.
674,A year on there is a new boss and old enemies. Criminal Asset Bureau's Claire Wallace finds herself at odds with CTU's Christian De Jong when CAB is drawn back to the Antwerp investigation. A familiar face returns but can she be trusted?
675,Newspaper illustrator John Moore meets with criminal psychologist (alienist) Dr. Laszlo Kreizler to investigate a serial killer in New York during the late 19th century.
676,"DI Jack Frost is an unconventional policeman with sympathy for the underdog and an instinct for moral justice. Sloppy, disorganized, and disrespectful, he attracts trouble like a magnet."
677,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty."
678,"One of the world's top bodyguards gets a new client, a world class hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial alive and on time."
679,An attorney intending on climbing the career ladder toward success finds an unlikely opponent in a manipulative criminal he is trying to prosecute.
680,"A ""tax collector"" working for a local crime lord finds his family's safety compromised when the rival of his boss shows up in L.A. and upends the business."
681,A genius strategist and people with different personalities and abilities fighting an extraordinary variable and engaging in an unprecedented hostage play.
682,Ichabod Crane is resurrected and pulled two and a half centuries through time to unravel a mystery that dates all the way back to the founding fathers.
683,An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.
684,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price."
685,"Former FBI profiler Will Graham returns to service to pursue a deranged serial killer dubbed ""the Tooth Fairy"" by the media."
686,The cases of an easy-going ex-convict turned private investigator.
687,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks."
688,"Dr. Paul Kersey is an experienced trauma surgeon, a man who has spent his life saving lives. After an attack on his family, Paul embarks on his own mission for justice."
689,"The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf."
690,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice."
691,"Dr. Mark Sloan has a knack for getting into trouble, negotiating the twists and turns of mysteries and solving crimes with the help of his son, Steve, a homicide detective."
692,An assassin-for-hire finds that he's become a target after he refuses to complete a job for a dangerous criminal organization.
693,"In 2028 Detroit, when Alex Murphy, a loving husband, father and good cop, is critically injured in the line of duty, the multinational conglomerate OmniCorp sees their chance for a part-man, part-robot police officer."
694,Mohamedou Ould Slahi fights for freedom after being detained and imprisoned without charge by the U.S. Government for years.
695,"A divorced woman and her diabetic daughter take refuge in their newly-purchased house's safe room when three men break-in, searching for a missing fortune."
696,"A retired FBI agent with psychological gifts is assigned to help track down ""The Tooth Fairy"", a mysterious serial killer. Aiding him is imprisoned forensic psychiatrist Dr. Hannibal ""The Cannibal"" Lecter."
697,"A woman is jailed for her husband's crime, and her only way out is to solve riddles from her mysterious past."
698,A rogue assassin returns to take down the secret organization that trained her.
699,"Fresh out of the farm, Annie Walker must adapt to the challenging life of a CIA operative under the guidance of her handler, Auggie. But soon she realizes her recruit might have to do with her last boyfriend rather than her talent."
700,"A French convict in the 1930s befriends a fellow criminal as the two of them begin serving their sentence in the South American penal colony on Devil's Island, which inspires the man to plot his escape."
701,Two psychopathic young men take a family hostage in their cabin.
702,Two shocking and unexpected murders shatter an already fractured community leading to one of the largest manhunts in British history.
703,Young lovers Sailor and Lula run from the variety of weirdos that Lula's mom has hired to kill Sailor.
704,"Two cops, a rookie and a grizzled vet, pursue an accomplished bank robber."
705,Three friends conspire to murder their awful bosses when they realize they are standing in the way of their happiness.
706,"When artificial human Meredith is assigned as a companion to grieving widower William, she is designed to behave like his late wife. But in the fight to end AI exploitation, an organization attempts to sabotage her programming."
707,"The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet."
708,"Bob Saginowski finds himself at the center of a robbery gone awry and entwined in an investigation that digs deeply into the neighborhood's past where friends, families, and foes all work together to make a living--no matter the cost."
709,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.
710,"A retired sheriff and his wife, grieving over the death of their son, set out to find their only grandson."
711,"In London, four very different people team up on a jewel heist, then try to double-cross one another for the loot, complicated by their efforts to fool a very proper barrister."
712,Follows Dalgliesh's crime-fighting career from 1970s England to the present day.
713,A disk containing mysterious information from a CIA agent ends up in the hands of two unscrupulous and daft gym employees who attempt to sell it.
714,A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.
715,Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel to Ocean's Eleven (2001).
716,"Ten strangers are invited to an island by a mysterious host, and start to get killed one by one. Could one of them be the killer?"
717,A nonconformist San Francisco cop is determined to find the underworld kingpin who killed the witness under his protection.
718,"When a debt puts a young man's life in danger, he turns to putting a hit out on his evil mother in order to collect the insurance."
719,"In Night City, a mercenary known as V navigates a dystopian society in which the line between humanity and technology becomes blurred."
720,"A tough cop must pose as a kindergarten teacher in order to locate a dangerous criminal's ex-wife, who may hold the key to putting him behind bars."
721,Jonah Mulray is a professor whose world comes crashing down when his wife is killed in a car crash in Hong Kong.
722,Series about the special FBI Missing Persons Squad that finds missing people by applying advanced psychological profiling to reveal the victims' lives.
723,"Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world."
724,An oddball couple of private detectives named Luella Shakespeare and Frank Hathaway investigate crime in Stratford-upon-Avon.
725,Ellie Stocker and Gedeon Winter have become bitter enemies. A ritual murder leads to the formation of a German-Austrian Soko and forces the two opponents to investigate together.
726,"After escaping a Michigan prison, a charming career criminal assumes a new identity in Canada and goes on to rob a record 59 banks and jewellery stores while being hunted by a police task force. Based on the story of The Flying Bandit."
727,Jin Kazama witnesses the death of his mother Jun by Tekken in the slums known as Anvil. After finding a Tekken ID he decides to seek out vengeance for his mother's death.
728,"Murphy is a hard-living, hard-drinking, disaffected twenty-something. She's also blind. Her life comes crashing down when she stumbles upon what she's sure is the lifeless body of her closest friend in the alley outside her apartment."
729,"Centered around the largest heist ever attempted, the vengeance and betrayals that surround it."
730,"A mild-mannered man becomes a local hero through an act of violence, which sets off repercussions that will shake his family to its very core."
731,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.
732,"After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage."
733,A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.
734,Black gangsters in 1930 Harlem fights Dutch Schultz who is trying to horn in on their numbers racket.
735,A reformed hunter living in isolation on a wildlife sanctuary becomes involved in a deadly game of cat and mouse when he and the local Sheriff set out to track a vicious killer who may have kidnapped his daughter years ago.
736,An aging thief hopes to retire and live off his ill-gotten wealth with his lover when a young kid convinces him into doing one last heist that comes with a large payout.
737,"A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire."
738,"Wrongfully convicted for murder, Henri Charriere forms an unlikely relationship with fellow inmate and quirky convicted counterfeiter, Louis Dega, in an attempt to escape from the notorious penal colony on Devil's Island."
739,"As Hercule Poirot enjoys a luxurious cruise down the Nile, a newlywed heiress is found murdered on board. Can Poirot identify the killer before the ship reaches the end of its journey?"
740,"Professor Jasper Tempest, a genius Cambridge University criminologist with OCD and an overbearing mother, advises the police. British version of the Belgian crime drama of the same name."
741,"A very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective."
742,A middle-aged college professor becomes infatuated with a 14-year-old girl.
743,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does."
744,"After being mistaken for an actor, a New York thief is sent to Hollywood to train under a private eye for a potential movie role, but the duo are thrown together with a struggling actress into a murder mystery."
745,"This spinoff of ""The Oval"" follows Ruth Truesdale as she is forced to play nice with a scandalous, religious cult of powerful, sex-crazed fanatics in the hope of freeing herself and her daughter."
746,"Inspired by actual events, a group of fame-obsessed teenagers use the internet to track celebrities' whereabouts in order to rob their homes."
747,A woman is released from prison after serving a sentence for a violent crime and re-enters a society that refuses to forgive her past.
748,"In the near future, Major Mira Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals."
749,Follows Nikki Batista after she joins the Philadelphia Police Department's Missing Person's Unit to help other people find their loved ones at the same time that she is looking for her missing son.
750,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.
751,"After his dog is killed in Skid Row, Jake Rosser plummets deep into a sinister underworld to uncover the truth about who may be responsible."
752,"A struggling dentist's life is turned upside down when a famous gangster moves in next door, and his wife convinces him to inform a notorious mob boss about the gangster's whereabouts."
753,"Spider-Men, Peter Parker and Miles Morales, return for an exciting new adventure in the critically acclaimed Marvel's Spider-Man franchise."
754,Four incompetent British terrorists set out to train for and commit an act of terror.
755,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.
756,"On her 30th birthday out for lunch with her mother suddenly explodes into violence, an adrift young woman's perception of her mother is forever changed."
757,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.
758,The Cotswolds-based PR guru turned amateur sleuth returns for a series of comedic murder-mysteries based on the books by M.C. Beaton.
